Nome,"Ano ",Comissão,Data,Pessoa,Priority,Status,"Tag "
Criar formulário de inscrição de participantes,,,,,Média,Concluído,Tarefas
Entrar em contato com patrocinadores,,Patrocinadores,,"Victor Soares, Letícia",Média,Concluído,Tarefas
Entrar em contato com Professora Maria Lúcia,,Infraestrutura,,Geovana de Fátima,Média,Concluído,Tarefas
Criar o formulário de inscrição de submissão de trabalhos,,,,"Clara Amaral, Victor Soares",Alta,Concluído,Tarefas
"Entrar em contato com palestrantes  ",,Palestrantes,,Lívia Stemler,Média,Concluído,Tarefas
Fazer o documento das normas de submissão dos trabalhos e formulário,,,16 de setembro de 2024,"Victor Soares, Clara Amaral, Letícia",Alta,Concluído,Tarefas
Reunião 13h,,,10 de setembro de 2024,,,Não iniciada,Reunião
Desenvolver o site,,,,Anderson Rodrigues,Média,Concluído,Tarefas
Convidar palestrantes,,,,Jerome Baron,Média,Concluído,Tarefas
"Regulamento de avalições de trabalho ",,,,,,Concluído,Tarefas
"Definir comissão cientifica que vai analisar os trabalhos ",,Comissão científica,,Jerome Baron,,Concluído,Tarefas
Entrar em contato com as unidades da UFMG e outras instituições,,,,"Anderson Rodrigues, Luiza ",Baixa,Concluído,Tarefas
escrever modelo de texto para contato com organizações,,,,"Luiza , Anderson Rodrigues",Baixa,Concluído,Tarefas
"credenciamento por qrcode ",,,,Clara Amaral,Baixa,Concluído,Tarefas
"design dos crachas ",,Divulgação,,"Luiza , Anderson Rodrigues",Baixa,Concluído,Tarefas
Coffee Break,,,,"Tiago Lopes, Victor Cesar",Baixa,Concluído,Tarefas
"acompanhamento do forms de inscrição ",,Infraestrutura,,Pedro Belisario,Média,Concluído,Tarefas
SITE PRONTO PARA INSCRIÇÃO!!!!!,,,16 de setembro de 2024,Anderson Rodrigues,Alta,Concluído,Tarefas
"entrar em contato com equipe de divulgação do ricardo ",,Divulgação,,Anderson Rodrigues,Alta,Concluído,Tarefas
Reunião 13h,,,20 de setembro de 2024,"Pedro Belisario, Anderson Rodrigues, Clara Amaral, Jerome Baron, Tiago Lopes, Letícia, Lívia Stemler",,Não iniciada,Reunião
"Confirmação das incrições ",,,,Clara Amaral,Média,Concluído,Tarefas
Reunião 13h,,,27 de setembro de 2024,,,Não iniciada,Reunião
Primeiro dia CBNV,,,7 de novembro de 2024,,,Não iniciada,Reunião
Segundo dia CBNV,,,8 de novembro de 2024,,,Não iniciada,Reunião
Visita técnica,,,26 de setembro de 2024 14:00 (BRT),"Geovana de Fátima, Pedro Belisario",Alta,Em andamento,Reunião
Entrar em contato com a Prof. Maria Lúcia,,,,Geovana de Fátima,Alta,Concluído,Tarefas
"poster de envio de trabalho ",,,,"Luiza ",,Concluído,Tarefas
"fazer texto para divulgação ",,Divulgação,,Anderson Rodrigues,,Concluído,Tarefas
Ir nos restaurantes ufmg pedir vouchers para os palestrantes / comissão,,Patrocinadores,29 de outubro de 2024,"Victor Soares, Letícia, Jerome Baron",Alta,Concluído,Tarefas
Fazer um levantamento de despesas gerais do congresso,,Patrocinadores,,"Victor Soares, Letícia",Alta,Não iniciada,
Fazer um levantamento de despesas gerais do congresso,2024,Patrocinadores,,"Victor Soares, Letícia",Baixa,Em andamento,Tarefas
Coletar orçamentos,,Patrocinadores,,"Victor Soares, Letícia",Alta,Concluído,Tarefas
Tabela de horários,,,,,Alta,Concluído,Tarefas
"Mandar email de falta 1 mês para a pós graduação ",,Divulgação,,,,Concluído,Tarefas
Contactar o audiovisual,,Infraestrutura,,Geovana de Fátima,Alta,Concluído,Tarefas
"Avisar mudança da data ",,Divulgação,,,,Concluído,Tarefas
"Divulgar  mudança de datas ",,Divulgação,,,,Concluído,Tarefas
"Thumbnail do palestrantes todos ",,Divulgação,,"Anderson Rodrigues, Luiza ",Alta,Concluído,Tarefas
"email com nome da sessão, horário dia e cronograma ",,Palestrantes,,Lívia Stemler,,Concluído,Tarefas
"Texto da introdução da sessão ",,Palestrantes,1 de novembro de 2024,"Jerome Baron, Anderson Rodrigues, Victor Soares, Lívia Stemler, Geovana de Fátima, Letícia",,Concluído,Tarefas
"Entrar em contato com a comissão cientifica ",,Comissão científica,,"Clara Amaral, Anderson Rodrigues, Vinicius Delgado",,Concluído,Tarefas
"Premiação ",,Infraestrutura,,Geovana de Fátima,,Concluído,Tarefas
"Organização de trabalhos ",,Comissão científica,,"Vinicius Delgado, Anderson Rodrigues, Clara Amaral",Média,Concluído,Tarefas
imprimir posters (colocar wifi no qr code),,Infraestrutura,29 de outubro de 2024,"Luiza , Geovana de Fátima",Alta,Concluído,Tarefas
Certificado Premiação e Menção Honrosa,,Divulgação,,"Geovana de Fátima, Luiza ",Alta,Concluído,Tarefas
"Montar slide pronto com vídeos, thumbnail e Qr code (com wifi)",,,,"Luiza ",,Concluído,Tarefas
Abertura da mesa solene,,Palestrantes,,,,Concluído,Tarefas
"Certificados ",2024,Pós congresso,,Pedro Belisario,Média,Não iniciada,Tarefas
"levantamento dos dados para o relatório ",2024,Pós congresso,,,,Não iniciada,Tarefas
"editar e publicar gravações ",2024,Pós congresso,,,,Não iniciada,Tarefas
Conferir os trabalhos,2024,Comissão científica,,Jerome Baron,Média,Não iniciada,Tarefas
"Conferir o trabalho 25 ",2024,Comissão científica,,Jerome Baron,Alta,Não iniciada,Tarefas
Fazer post dos trabalhos,2024,Divulgação,,"Luiza ",Média,Não iniciada,Tarefas
Destacar vídeos no site,2024,Divulgação,,Anderson Rodrigues,Média,Não iniciada,Tarefas
Fazer os certificados de participação,2024,Pós congresso,,Pedro Belisario,Alta,Não iniciada,Tarefas
Entrar em contato com a FUNDEP em relação a cobrança,2025,,,Jerome Baron,Média,Concluído,Tarefas
Marcar datas no auditório,2025,Infraestrutura,,Geovana de Fátima,Alta,Concluído,Tarefas
"Informações e fotos do Congresso de 2024 ",2025,Divulgação,,"Luiza ",Baixa,Concluído,Tarefas
Olhar sobre plataforma de cobrança,2025,,,Victor Soares,Alta,Concluído,Tarefas
Atualizar o site,2025,Divulgação,,Anderson Rodrigues,Alta,Não iniciada,Tarefas
Solicitar a rede do congresso,2025,Infraestrutura,,Geovana de Fátima,Baixa,Não iniciada,Tarefas
Contratar as moças da faxina,2025,Infraestrutura,,Geovana de Fátima,Baixa,Não iniciada,Tarefas
"Pesquisar ligas de oftalmologia e neurociência ",2025,Divulgação,30 de maio de 2025,"Luiza ",Média,Concluído,Tarefas
"Passar contato do professor da META ",,,,Iasmin Vitoriano,,Concluído,Tarefas
"Preencher formulário FUNDEP ",2025,,2 de junho de 2025,"Luiza , Geovana de Fátima",Alta,Concluído,Tarefas
Enviar os documentos para a FUNDEP,2025,,6 de junho de 2025,Jerome Baron,Alta,Concluído,
Montar template de posts para instagram,2025,Divulgação,4 de julho de 2025,"Luiza ",Baixa,Não iniciada,
Interface das palestras on-line,2025,Infraestrutura,,,,Não iniciada,Tarefas
"Organizar o notion do congresso ",2025,,28 de junho de 2025,"Luiza ",Alta,Concluído,
"Montar texto de entrar em contato com palestrantes ",2025,,,Victor Soares,Média,Concluído,
"Integração de canais do youtube ",2025,,,,Baixa,Não iniciada,
Finalizar a burocracia dos documentos da FUNDEP,2025,,,"Jerome Baron, Alice Timponi",Alta,Em andamento,Tarefas
"Perguntar sobre vendas no CAD ",2025,,,Geovana de Fátima,Alta,Não iniciada,Tarefas
Entrar em contato com patrocinadores,2025,Patrocinadores,6 de maio de 2026,"Luiza , Maria Araújo, Samuel Alves, Daniela Reis, Alice Timponi, Geovana de Fátima, Anderson Rodrigues, Clara Amaral, Victor Soares, Jerome Baron, Pedro Belisario",Alta,Em andamento,Tarefas
"Cobrar confirmação no siex ",2025,,30 de abril de 2026,"Luiza ",Alta,Em andamento,Tarefas